2020-10-22 22:14:18 [31merror[39m: 	EIO: i/o error, write
2020-10-27 07:56:17 [31merror[39m: 	Could not connect to database: Wrong driver: "undefined" given. Supported drivers are: "cordova", "expo", "mariadb", "mongodb", "mssql", "mysql", "oracle", "postgres", "sqlite", "better-sqlite3", "sqljs", "react-native", "aurora-data-api", "aurora-data-api-pg".
2020-10-27 07:56:27 [31merror[39m: 	Could not connect to database: Wrong driver: "undefined" given. Supported drivers are: "cordova", "expo", "mariadb", "mongodb", "mssql", "mysql", "oracle", "postgres", "sqlite", "better-sqlite3", "sqljs", "react-native", "aurora-data-api", "aurora-data-api-pg".
2020-10-27 07:57:16 [31merror[39m: 	Could not connect to database: Wrong driver: "undefined" given. Supported drivers are: "cordova", "expo", "mariadb", "mongodb", "mssql", "mysql", "oracle", "postgres", "sqlite", "better-sqlite3", "sqljs", "react-native", "aurora-data-api", "aurora-data-api-pg".
2020-10-27 07:59:14 [31merror[39m: 	Could not connect to database: Wrong driver: "undefined" given. Supported drivers are: "cordova", "expo", "mariadb", "mongodb", "mssql", "mysql", "oracle", "postgres", "sqlite", "better-sqlite3", "sqljs", "react-native", "aurora-data-api", "aurora-data-api-pg".
2020-10-27 07:59:27 [31merror[39m: 	Could not connect to database: Wrong driver: "undefined" given. Supported drivers are: "cordova", "expo", "mariadb", "mongodb", "mssql", "mysql", "oracle", "postgres", "sqlite", "better-sqlite3", "sqljs", "react-native", "aurora-data-api", "aurora-data-api-pg".
2020-10-27 07:59:57 [31merror[39m: 	Could not connect to database: Wrong driver: "undefined" given. Supported drivers are: "cordova", "expo", "mariadb", "mongodb", "mssql", "mysql", "oracle", "postgres", "sqlite", "better-sqlite3", "sqljs", "react-native", "aurora-data-api", "aurora-data-api-pg".
2020-10-27 08:01:39 [31merror[39m: 	Could not connect to database: Wrong driver: "undefined" given. Supported drivers are: "cordova", "expo", "mariadb", "mongodb", "mssql", "mysql", "oracle", "postgres", "sqlite", "better-sqlite3", "sqljs", "react-native", "aurora-data-api", "aurora-data-api-pg".
2020-10-27 08:02:26 [31merror[39m: 	Could not connect to database: Cannot use import statement outside a module
2020-10-27 08:02:46 [31merror[39m: 	Could not connect to database: Unexpected token 'export'
2020-10-27 08:04:53 [31merror[39m: 	Could not connect to database: No connection options were found in any orm configuration files.
2020-10-27 08:05:16 [31merror[39m: 	Could not connect to database: No connection options were found in any orm configuration files.
2020-10-27 08:12:07 [31merror[39m: 	Could not connect to database: No connection options were found in any orm configuration files.
